=== 0: 0 | @ 0m1s.770
=== 1: 0 | @ 0m1s.793
=== 2: 0 | @ 0m1s.800
=== 3: 0 | @ 0m1s.814
=== 4: 0 | @ 0m1s.824
=== 5: 0 | @ 0m1s.836
=== 6: 0 | @ 0m1s.865
=== 7: 0 | @ 0m1s.884
=== 8: 0 | @ 0m1s.899
=== 9: 0 | @ 0m1s.917
=== 10: 0 | @ 0m1s.943
=== 11: 0 | @ 0m1s.958
=== 12: 0 | @ 0m1s.967
=== 13: 0 | @ 0m1s.984
=== 14: 0 | @ 0m1s.992
=== 15: 0 | @ 0m2s.0
=== 16: 0 | @ 0m2s.13
=== 17: 0 | @ 0m2s.29
=== 18: 0 | @ 0m2s.57
=== 19: 0 | @ 0m2s.66
=== 20: 0 | @ 0m2s.80
=== 21: 0 | @ 0m2s.93
=== 22: 0 | @ 0m2s.110
=== 23: 0 | @ 0m2s.122
=== 24: 0 | @ 0m2s.131
=== 25: 0 | @ 0m2s.142
=== 26: 0 | @ 0m2s.160
=== 27: 0 | @ 0m2s.168
=== 28: 0 | @ 0m2s.200
=== 29: 0 | @ 0m2s.208
=== 30: 0 | @ 0m2s.229
=== 31: 0 | @ 0m2s.242
=== 32: 0 | @ 0m2s.250
=== 33: 0 | @ 0m2s.265
=== 34: 0 | @ 0m2s.276
=== 35: 0 | @ 0m2s.284
=== 36: 0 | @ 0m2s.294
=== 37: 0 | @ 0m2s.310
=== 38: 0 | @ 0m2s.320
=== 39: 0 | @ 0m2s.331
=== 40: 0 | @ 0m2s.342
=== 41: 0 | @ 0m2s.352
=== 42: 0 | @ 0m2s.365
=== 43: 0 | @ 0m2s.394
=== 44: 0 | @ 0m2s.407
=== 45: 0 | @ 0m2s.419
=== 46: 0 | @ 0m2s.433
=== 47: 0 | @ 0m2s.443
=== 48: 0 | @ 0m2s.451
=== 49: 0 | @ 0m2s.464
=== 50: 0 | @ 0m2s.490
=== 51: 0 | @ 0m2s.508
=== 52: 0 | @ 0m2s.525
=== 53: 0 | @ 0m2s.534
=== 54: 0 | @ 0m2s.553
=== 55: 0 | @ 0m2s.563
=== 56: 0 | @ 0m2s.594
=== 57: 0 | @ 0m2s.609
=== 58: 0 | @ 0m2s.625
=== 59: 0 | @ 0m2s.636
=== 60: 0 | @ 0m2s.652
=== 61: 0 | @ 0m2s.662
=== 62: 0 | @ 0m2s.686
=== 63: 0 | @ 0m2s.715
=== 64: 0 | @ 0m2s.725
=== 65: 0 | @ 0m2s.744
=== 66: 0 | @ 0m2s.770
=== 67: 0 | @ 0m2s.785
=== 68: 0 | @ 0m2s.798
=== 69: 0 | @ 0m2s.815
=== 70: 0 | @ 0m2s.833
=== 71: 0 | @ 0m2s.848
=== 72: 0 | @ 0m2s.875
=== 73: 0 | @ 0m2s.886
=== 74: 0 | @ 0m2s.926
=== 75: 0 | @ 0m2s.942
=== 76: 0 | @ 0m2s.962
=== 77: 0 | @ 0m2s.982
=== 78: 0 | @ 0m3s.1
=== 79: 0 | @ 0m3s.20
=== 80: 0 | @ 0m3s.51
=== 81: 0 | @ 0m3s.68
=== 82: 0 | @ 0m3s.96
=== 83: 0 | @ 0m3s.102
=== 84: 0 | @ 0m3s.120
=== 85: 0 | @ 0m3s.135
=== 86: 0 | @ 0m3s.153
=== 87: 0 | @ 0m3s.162
=== 88: 0 | @ 0m3s.176
=== 89: 0 | @ 0m3s.192
=== 90: 0 | @ 0m3s.209
=== 91: 0 | @ 0m3s.227
=== 92: 0 | @ 0m3s.248
=== 93: 0 | @ 0m3s.266
=== 94: 0 | @ 0m3s.275
