=== 0: 0 | @ 1m28s.823
=== 0: 0 | @ 1m1s.11
=== 1: 0 | @ 2m3s.339
=== 2: 0 | @ 3m6s.725
=== 3: 0 | @ 4m10s.960
=== 4: 0 | @ 5m11s.994
=== 5: 0 | @ 6m15s.497
=== 6: 0 | @ 7m20s.27
=== 7: 0 | @ 8m25s.479
=== 8: 0 | @ 9m31s.115
=== 9: 0 | @ 10m37s.705
=== 10: 0 | @ 11m42s.815
=== 11: 0 | @ 12m59s.115
=== 12: 0 | @ 14m6s.86
=== 13: 0 | @ 15m12s.718
=== 14: 0 | @ 16m17s.246
=== 15: 0 | @ 17m23s.49
=== 16: 0 | @ 18m28s.949
=== 17: 0 | @ 19m33s.890
=== 18: 0 | @ 20m41s.375
=== 19: 0 | @ 21m46s.346
=== 20: 0 | @ 22m50s.866
=== 21: 0 | @ 23m53s.631
=== 22: 0 | @ 24m59s.641
=== 23: 0 | @ 26m3s.974
=== 24: 0 | @ 27m10s.575
=== 25: 0 | @ 28m15s.144
=== 26: 0 | @ 29m34s.9
=== 27: 0 | @ 30m38s.512
=== 28: 0 | @ 31m43s.329
=== 29: 0 | @ 32m50s.17
=== 30: 0 | @ 33m55s.166
=== 31: 0 | @ 35m3s.766
=== 32: 0 | @ 36m9s.472
=== 33: 0 | @ 37m16s.743
=== 34: 0 | @ 38m34s.67
=== 35: 0 | @ 39m36s.336
=== 36: 0 | @ 40m42s.964
=== 37: 0 | @ 41m45s.539
=== 38: 0 | @ 42m47s.249
=== 39: 0 | @ 43m52s.564
=== 40: 0 | @ 44m54s.782
=== 41: 0 | @ 45m56s.818
=== 42: 0 | @ 46m58s.78
=== 43: 0 | @ 48m0s.832
=== 44: 0 | @ 49m2s.348
=== 45: 0 | @ 50m2s.203
=== 46: 0 | @ 51m3s.452
=== 47: 0 | @ 52m13s.978
=== 48: 0 | @ 53m11s.788
=== 49: 0 | @ 54m11s.429
=== 50: 0 | @ 55m11s.646
=== 51: 0 | @ 56m12s.860
=== 52: 0 | @ 57m13s.916
=== 53: 0 | @ 58m16s.272
=== 54: 0 | @ 59m21s.881
=== 55: 0 | @ 60m29s.198
=== 56: 0 | @ 0m50s.852
=== 57: 0 | @ 1m44s.929
=== 58: 0 | @ 2m38s.389
=== 59: 0 | @ 3m32s.77
=== 60: 0 | @ 4m25s.951
=== 61: 0 | @ 5m20s.434
=== 62: 0 | @ 6m14s.860
=== 63: 0 | @ 7m17s.212
=== 64: 0 | @ 8m10s.472
=== 65: 0 | @ 9m4s.259
=== 66: 0 | @ 10m0s.753
=== 67: 0 | @ 10m54s.698
=== 68: 0 | @ 12m3s.597
=== 69: 0 | @ 13m0s.615
=== 70: 0 | @ 13m59s.914
=== 71: 0 | @ 15m7s.112
=== 72: 0 | @ 16m1s.700
=== 73: 0 | @ 16m58s.61
=== 74: 0 | @ 17m53s.317
=== 75: 0 | @ 18m56s.236
=== 76: 0 | @ 19m49s.240
=== 77: 0 | @ 20m43s.336
=== 78: 0 | @ 21m35s.951
=== 79: 0 | @ 22m28s.863
=== 80: 0 | @ 23m23s.593
=== 81: 0 | @ 24m14s.234
=== 82: 0 | @ 25m6s.417
=== 83: 0 | @ 25m55s.920
=== 84: 0 | @ 26m44s.863
=== 85: 0 | @ 27m33s.385
=== 86: 0 | @ 28m20s.964
=== 87: 0 | @ 29m8s.143
=== 88: 0 | @ 29m55s.230
=== 89: 0 | @ 30m42s.101
=== 90: 0 | @ 31m29s.205
=== 91: 0 | @ 32m15s.454
=== 92: 0 | @ 33m0s.558
=== 93: 0 | @ 33m45s.431
=== 94: 0 | @ 34m30s.430
=== 95: 0 | @ 35m14s.601
=== 96: 0 | @ 35m58s.238
=== 97: 0 | @ 36m42s.43
=== 98: 0 | @ 37m25s.910
=== 99: 0 | @ 38m10s.188
=== 100: 0 | @ 38m54s.911
=== 101: 0 | @ 39m42s.681
=== 102: 0 | @ 40m28s.8
=== 103: 0 | @ 41m13s.399
=== 104: 0 | @ 41m59s.220
=== 105: 0 | @ 42m46s.972
=== 106: 0 | @ 43m36s.375
=== 107: 0 | @ 44m27s.561
=== 108: 0 | @ 45m19s.309
=== 109: 0 | @ 46m13s.534
=== 110: 0 | @ 47m7s.33
=== 111: 0 | @ 48m3s.850
=== 112: 0 | @ 48m59s.512
=== 113: 0 | @ 49m53s.288
