=== 0: 0 | @ 1m26s.918
=== 1: 0 | @ 2m50s.597
=== 2: 0 | @ 4m12s.961
=== 3: 0 | @ 5m37s.333
=== 4: 0 | @ 6m56s.831
=== 5: 0 | @ 8m18s.455
=== 6: 0 | @ 9m40s.582
=== 7: 0 | @ 11m3s.980
=== 8: 0 | @ 12m27s.558
=== 9: 0 | @ 13m52s.238
=== 10: 0 | @ 15m15s.634
=== 11: 0 | @ 16m38s.800
=== 12: 0 | @ 17m59s.282
=== 13: 0 | @ 19m22s.802
=== 14: 0 | @ 20m41s.950
=== 15: 0 | @ 22m2s.198
=== 16: 0 | @ 23m18s.191
=== 17: 0 | @ 24m36s.557
=== 18: 0 | @ 25m57s.296
=== 19: 0 | @ 27m19s.491
=== 20: 0 | @ 28m39s.182
=== 21: 0 | @ 29m59s.60
=== 22: 0 | @ 31m17s.836
=== 23: 0 | @ 32m34s.802
=== 24: 0 | @ 33m52s.323
=== 25: 0 | @ 35m10s.457
=== 26: 0 | @ 36m29s.243
=== 27: 0 | @ 37m45s.270
=== 28: 0 | @ 39m3s.745
=== 29: 0 | @ 40m20s.202
=== 30: 0 | @ 41m35s.313
=== 31: 0 | @ 42m49s.688
=== 32: 0 | @ 44m4s.34
=== 33: 0 | @ 45m18s.275
=== 34: 0 | @ 46m33s.142
=== 35: 0 | @ 47m49s.408
=== 36: 0 | @ 49m4s.133
=== 37: 0 | @ 50m18s.410
=== 38: 0 | @ 51m32s.669
=== 39: 0 | @ 52m44s.381
=== 40: 0 | @ 53m57s.937
=== 41: 0 | @ 55m9s.60
=== 42: 0 | @ 56m19s.790
=== 43: 0 | @ 57m32s.883
=== 44: 0 | @ 58m45s.561
=== 45: 0 | @ 59m55s.667
=== 46: 0 | @ 61m5s.428
=== 47: 0 | @ 62m14s.369
=== 48: 0 | @ 63m24s.75
=== 49: 0 | @ 64m33s.453
=== 50: 0 | @ 65m42s.914
=== 51: 0 | @ 66m52s.36
=== 52: 0 | @ 68m0s.796
=== 53: 0 | @ 69m8s.670
=== 54: 0 | @ 70m17s.732
=== 55: 0 | @ 71m25s.254
=== 56: 0 | @ 72m32s.865
=== 57: 0 | @ 73m39s.206
=== 58: 0 | @ 74m46s.297
=== 59: 0 | @ 75m53s.208
=== 60: 0 | @ 76m59s.948
=== 61: 0 | @ 78m6s.605
=== 62: 0 | @ 79m14s.345
=== 63: 0 | @ 80m20s.591
=== 64: 0 | @ 81m26s.566
=== 65: 0 | @ 82m32s.419
=== 66: 0 | @ 83m38s.130
=== 67: 0 | @ 84m43s.321
=== 68: 0 | @ 85m49s.297
=== 69: 0 | @ 86m52s.370
=== 70: 0 | @ 87m56s.397
=== 71: 0 | @ 88m59s.915
=== 72: 0 | @ 90m3s.185
=== 73: 0 | @ 91m6s.560
=== 74: 0 | @ 92m11s.727
=== 75: 0 | @ 93m14s.671
=== 76: 0 | @ 94m19s.346
=== 77: 0 | @ 95m19s.304
=== 78: 0 | @ 96m23s.227
=== 79: 0 | @ 97m26s.719
=== 80: 0 | @ 98m30s.314
=== 81: 0 | @ 99m31s.637
=== 82: 0 | @ 100m33s.46
=== 83: 0 | @ 101m34s.379
=== 84: 0 | @ 102m35s.753
=== 85: 0 | @ 103m36s.203
=== 86: 0 | @ 104m38s.492
=== 87: 0 | @ 105m38s.552
=== 88: 0 | @ 106m40s.555
=== 89: 0 | @ 107m42s.26
=== 90: 0 | @ 108m41s.911
=== 91: 0 | @ 109m40s.941
=== 92: 0 | @ 110m41s.783
=== 93: 0 | @ 111m38s.574
=== 94: 0 | @ 112m37s.859
=== 95: 0 | @ 113m33s.824
=== 96: 0 | @ 114m30s.5
=== 97: 0 | @ 115m26s.253
=== 98: 0 | @ 116m24s.773
=== 99: 0 | @ 117m20s.14
=== 100: 0 | @ 118m15s.978
=== 101: 0 | @ 119m11s.69
=== 102: 0 | @ 120m5s.945
=== 103: 0 | @ 121m0s.867
=== 104: 0 | @ 121m55s.104
=== 105: 0 | @ 122m49s.341
=== 106: 0 | @ 123m43s.687
=== 107: 0 | @ 124m37s.876
=== 108: 0 | @ 125m31s.502
=== 109: 0 | @ 126m25s.28
=== 110: 0 | @ 127m18s.533
=== 111: 0 | @ 128m10s.108
=== 112: 0 | @ 129m3s.125
=== 113: 0 | @ 129m56s.106
=== 114: 0 | @ 130m51s.339
=== 115: 0 | @ 143m51s.328
