=== 0: 0 | @ 1m4s.205
=== 1: 0 | @ 2m11s.709
=== 2: 0 | @ 3m19s.948
=== 3: 0 | @ 4m29s.190
=== 4: 0 | @ 6m21s.810
=== 5: 0 | @ 7m24s.456
=== 6: 0 | @ 8m31s.113
=== 7: 0 | @ 9m40s.828
=== 8: 0 | @ 10m52s.651
=== 9: 0 | @ 12m4s.426
=== 10: 0 | @ 13m16s.978
=== 11: 0 | @ 14m29s.473
=== 12: 0 | @ 15m39s.529
=== 13: 0 | @ 16m52s.503
=== 14: 0 | @ 18m2s.416
=== 15: 0 | @ 19m13s.885
=== 16: 0 | @ 20m21s.311
=== 17: 0 | @ 21m28s.556
=== 18: 0 | @ 22m36s.868
=== 19: 0 | @ 23m45s.833
=== 20: 0 | @ 24m54s.108
=== 21: 0 | @ 26m1s.546
=== 22: 0 | @ 27m7s.503
=== 23: 0 | @ 28m11s.698
=== 24: 0 | @ 29m15s.974
=== 25: 0 | @ 30m22s.783
=== 26: 0 | @ 31m29s.21
=== 27: 0 | @ 32m32s.102
=== 28: 0 | @ 33m35s.195
=== 29: 0 | @ 34m36s.572
=== 30: 0 | @ 35m37s.222
=== 31: 0 | @ 36m37s.174
=== 32: 0 | @ 37m37s.181
=== 33: 0 | @ 38m37s.398
=== 34: 0 | @ 39m37s.695
=== 35: 0 | @ 40m38s.836
=== 36: 0 | @ 41m39s.607
=== 37: 0 | @ 42m39s.754
=== 38: 0 | @ 43m39s.851
=== 39: 0 | @ 44m37s.819
=== 40: 0 | @ 45m37s.295
=== 41: 0 | @ 46m34s.967
=== 42: 0 | @ 47m32s.241
=== 43: 0 | @ 48m31s.290
=== 44: 0 | @ 49m30s.380
=== 45: 0 | @ 50m26s.751
=== 46: 0 | @ 51m22s.999
=== 47: 0 | @ 52m18s.818
=== 48: 0 | @ 53m15s.123
=== 49: 0 | @ 54m11s.153
=== 50: 0 | @ 55m7s.314
=== 51: 0 | @ 56m3s.403
=== 52: 0 | @ 56m58s.901
=== 53: 0 | @ 57m53s.726
=== 54: 0 | @ 58m49s.89
=== 55: 0 | @ 59m43s.716
=== 56: 0 | @ 60m38s.585
=== 57: 0 | @ 61m32s.477
=== 58: 0 | @ 62m26s.934
=== 59: 0 | @ 63m49s.393
=== 60: 0 | @ 64m50s.184
=== 61: 0 | @ 65m41s.376
=== 62: 0 | @ 66m36s.683
=== 63: 0 | @ 67m30s.621
=== 64: 0 | @ 68m23s.776
=== 65: 0 | @ 69m17s.508
=== 66: 0 | @ 70m10s.628
=== 67: 0 | @ 71m4s.211
=== 68: 0 | @ 71m58s.867
=== 69: 0 | @ 72m51s.517
=== 70: 0 | @ 73m47s.40
=== 71: 0 | @ 74m42s.597
=== 72: 0 | @ 75m38s.832
=== 73: 0 | @ 76m35s.239
=== 74: 0 | @ 77m34s.170
=== 75: 0 | @ 78m30s.981
=== 76: 0 | @ 79m29s.626
=== 77: 0 | @ 80m22s.762
=== 78: 0 | @ 81m18s.784
=== 79: 0 | @ 82m13s.787
=== 80: 0 | @ 83m7s.441
=== 81: 0 | @ 83m58s.232
=== 82: 0 | @ 84m49s.322
=== 83: 0 | @ 85m40s.96
=== 84: 0 | @ 86m31s.361
=== 85: 0 | @ 87m22s.462
=== 86: 0 | @ 88m16s.707
=== 87: 0 | @ 89m9s.86
=== 88: 0 | @ 90m3s.953
=== 89: 0 | @ 90m59s.167
=== 90: 0 | @ 91m53s.678
=== 91: 0 | @ 92m48s.600
=== 92: 0 | @ 93m45s.539
=== 93: 0 | @ 94m38s.886
=== 94: 0 | @ 95m36s.919
=== 95: 0 | @ 96m34s.888
=== 96: 0 | @ 97m33s.835
=== 97: 0 | @ 98m33s.694
=== 98: 0 | @ 99m36s.925
=== 99: 0 | @ 100m37s.798
=== 100: 0 | @ 101m39s.288
=== 101: 0 | @ 102m40s.804
=== 102: 0 | @ 103m42s.50
=== 103: 0 | @ 104m43s.647
=== 104: 0 | @ 105m44s.502
=== 105: 0 | @ 106m45s.427
=== 106: 0 | @ 107m46s.877
=== 107: 0 | @ 108m48s.586
=== 108: 0 | @ 109m49s.581
=== 109: 0 | @ 110m50s.566
=== 110: 0 | @ 111m51s.423
=== 111: 0 | @ 112m52s.763
=== 112: 0 | @ 113m53s.763
=== 113: 0 | @ 114m50s.479
=== 114: 0 | @ 115m46s.308
=== 115: 0 | @ 116m40s.340
=== 116: 0 | @ 117m35s.736
=== 117: 0 | @ 118m31s.748
=== 118: 0 | @ 119m29s.98
=== 119: 0 | @ 120m27s.272
=== 120: 0 | @ 121m27s.39
=== 121: 0 | @ 122m26s.574
=== 122: 0 | @ 123m30s.773
=== 123: 0 | @ 124m35s.865
=== 124: 0 | @ 125m37s.589
=== 125: 0 | @ 126m37s.915
=== 126: 0 | @ 127m38s.329
=== 127: 0 | @ 128m39s.22
=== 128: 0 | @ 129m39s.329
=== 129: 0 | @ 130m40s.389
=== 130: 0 | @ 131m40s.607
=== 131: 0 | @ 132m40s.418
=== 132: 0 | @ 133m39s.969
=== 133: 0 | @ 134m39s.374
=== 134: 0 | @ 135m38s.339
=== 135: 0 | @ 136m37s.917
=== 136: 0 | @ 137m37s.350
=== 137: 0 | @ 138m36s.811
=== 138: 0 | @ 139m36s.339
=== 139: 0 | @ 140m35s.217
=== 140: 0 | @ 141m33s.915
=== 141: 0 | @ 142m33s.73
=== 142: 0 | @ 143m32s.326
=== 143: 0 | @ 144m31s.1
=== 144: 0 | @ 145m29s.493
=== 145: 0 | @ 146m28s.97
=== 146: 0 | @ 147m26s.148
=== 147: 0 | @ 148m24s.170
=== 148: 0 | @ 149m23s.267
=== 149: 0 | @ 150m21s.295
=== 150: 0 | @ 151m19s.209
=== 151: 0 | @ 152m16s.722
=== 152: 0 | @ 153m13s.797
=== 153: 0 | @ 154m10s.575
=== 154: 0 | @ 155m6s.986
=== 155: 0 | @ 156m3s.155
=== 156: 0 | @ 156m59s.148
=== 157: 0 | @ 157m54s.900
=== 158: 0 | @ 158m51s.194
=== 159: 0 | @ 159m47s.610
=== 160: 0 | @ 160m44s.79
=== 161: 0 | @ 161m39s.879
=== 162: 0 | @ 162m35s.902
=== 163: 0 | @ 163m32s.702
=== 164: 0 | @ 164m28s.222
=== 165: 0 | @ 165m24s.210
=== 166: 0 | @ 166m19s.614
=== 167: 0 | @ 167m14s.659
=== 168: 0 | @ 168m9s.317
=== 169: 0 | @ 169m4s.437
=== 170: 0 | @ 170m0s.1
=== 171: 0 | @ 170m54s.485
=== 172: 0 | @ 171m47s.950
=== 173: 0 | @ 172m37s.581
=== 174: 0 | @ 173m26s.224
=== 175: 0 | @ 174m15s.126
=== 176: 0 | @ 175m4s.527
=== 177: 0 | @ 175m53s.321
=== 178: 0 | @ 176m42s.511
=== 179: 0 | @ 177m31s.984
=== 180: 0 | @ 178m21s.715
=== 181: 0 | @ 179m11s.619
=== 182: 0 | @ 180m1s.661
=== 183: 0 | @ 180m50s.956
=== 184: 0 | @ 181m39s.582
=== 185: 0 | @ 182m27s.944
=== 186: 0 | @ 183m16s.337
=== 187: 0 | @ 184m4s.600
=== 188: 0 | @ 184m53s.541
=== 189: 0 | @ 185m42s.455
=== 190: 0 | @ 186m31s.442
=== 191: 0 | @ 187m20s.397
=== 192: 0 | @ 188m9s.156
=== 193: 0 | @ 189m17s.66
=== 194: 0 | @ 196m36s.840
=== 195: 0 | @ 197m6s.523
=== 196: 0 | @ 197m37s.866
=== 197: 0 | @ 198m15s.119
=== 198: 0 | @ 198m56s.512
=== 199: 0 | @ 199m36s.390
=== 200: 0 | @ 200m15s.178
=== 201: 0 | @ 200m53s.935
=== 202: 0 | @ 201m33s.726
=== 203: 0 | @ 202m12s.949
=== 204: 0 | @ 202m53s.534
=== 205: 0 | @ 203m34s.527
=== 206: 0 | @ 204m16s.332
=== 207: 0 | @ 204m58s.844
=== 208: 0 | @ 205m41s.936
=== 209: 0 | @ 206m25s.445
=== 210: 0 | @ 207m9s.193
=== 211: 0 | @ 207m52s.811
=== 212: 0 | @ 208m36s.67
=== 213: 0 | @ 209m19s.548
=== 214: 0 | @ 210m0s.665
=== 215: 0 | @ 210m36s.199
=== 216: 0 | @ 211m8s.981
=== 217: 0 | @ 211m37s.633
=== 218: 0 | @ 212m5s.248
=== 219: 0 | @ 212m32s.715
=== 220: 0 | @ 213m0s.553
=== 221: 0 | @ 213m28s.436
=== 222: 0 | @ 213m56s.540
=== 223: 0 | @ 214m24s.110
=== 224: 0 | @ 214m51s.543
=== 225: 0 | @ 215m18s.854
=== 226: 0 | @ 215m45s.914
=== 227: 0 | @ 216m12s.471
=== 228: 0 | @ 216m38s.870
=== 229: 0 | @ 217m4s.812
=== 230: 0 | @ 217m30s.675
=== 231: 0 | @ 217m56s.586
=== 232: 0 | @ 218m22s.239
=== 233: 0 | @ 218m47s.918
=== 234: 0 | @ 219m13s.256
=== 235: 0 | @ 219m38s.480
=== 236: 0 | @ 220m3s.688
=== 237: 0 | @ 220m28s.512
=== 238: 0 | @ 220m53s.643
=== 239: 0 | @ 221m18s.683
=== 240: 0 | @ 221m43s.383
=== 241: 0 | @ 222m8s.165
=== 242: 0 | @ 222m32s.609
=== 243: 0 | @ 222m56s.884
=== 244: 0 | @ 223m20s.960
=== 245: 0 | @ 223m45s.309
=== 246: 0 | @ 224m9s.172
=== 247: 0 | @ 224m33s.137
=== 248: 0 | @ 224m56s.731
=== 249: 0 | @ 225m20s.560
=== 250: 0 | @ 225m44s.611
=== 251: 0 | @ 226m8s.367
=== 252: 0 | @ 226m31s.727
=== 253: 0 | @ 226m55s.79
=== 254: 0 | @ 227m18s.374
=== 255: 0 | @ 227m41s.369
=== 256: 0 | @ 228m4s.153
=== 257: 0 | @ 228m27s.24
=== 258: 0 | @ 228m49s.769
=== 259: 0 | @ 229m12s.368
=== 260: 0 | @ 229m34s.961
=== 261: 0 | @ 229m57s.424
=== 262: 0 | @ 230m19s.506
=== 263: 0 | @ 230m41s.660
=== 264: 0 | @ 231m4s.318
=== 265: 0 | @ 231m27s.511
=== 266: 0 | @ 231m50s.768
=== 267: 0 | @ 232m13s.768
=== 268: 0 | @ 232m36s.968
=== 269: 0 | @ 233m0s.514
=== 270: 0 | @ 233m23s.835
=== 271: 0 | @ 233m46s.998
=== 272: 0 | @ 234m10s.544
=== 273: 0 | @ 234m35s.479
=== 274: 0 | @ 234m59s.109
=== 275: 0 | @ 235m22s.672
=== 276: 0 | @ 235m46s.122
=== 277: 0 | @ 236m9s.452
=== 278: 0 | @ 236m32s.953
=== 279: 0 | @ 236m56s.437
=== 280: 0 | @ 237m19s.719
=== 281: 0 | @ 237m43s.391
=== 282: 0 | @ 238m6s.581
=== 283: 0 | @ 238m29s.774
=== 284: 0 | @ 238m52s.942
=== 285: 0 | @ 239m16s.156
=== 286: 0 | @ 239m39s.718
=== 287: 0 | @ 240m3s.789
=== 288: 0 | @ 240m28s.458
=== 289: 0 | @ 240m53s.34
=== 290: 0 | @ 241m17s.543
=== 291: 0 | @ 241m42s.312
=== 292: 0 | @ 242m6s.670
=== 293: 0 | @ 242m30s.908
=== 294: 0 | @ 242m55s.99
=== 295: 0 | @ 243m19s.245
=== 296: 0 | @ 243m43s.219
=== 297: 0 | @ 244m7s.245
=== 298: 0 | @ 244m30s.833
=== 299: 0 | @ 244m54s.381
=== 300: 0 | @ 245m17s.929
=== 301: 0 | @ 245m42s.532
=== 302: 0 | @ 246m6s.891
=== 303: 0 | @ 246m30s.823
=== 304: 0 | @ 246m54s.368
=== 305: 0 | @ 247m17s.987
=== 306: 0 | @ 247m41s.299
=== 307: 0 | @ 248m4s.894
=== 308: 0 | @ 248m28s.350
=== 309: 0 | @ 248m51s.849
=== 310: 0 | @ 249m15s.874
=== 311: 0 | @ 249m39s.72
=== 312: 0 | @ 250m2s.104
=== 313: 0 | @ 250m25s.279
=== 314: 0 | @ 250m48s.432
=== 315: 0 | @ 251m11s.165
=== 316: 0 | @ 251m32s.750
=== 317: 0 | @ 251m53s.191
=== 318: 0 | @ 252m12s.178
=== 319: 0 | @ 252m30s.471
=== 320: 0 | @ 252m48s.781
=== 321: 0 | @ 253m5s.319
=== 322: 0 | @ 253m21s.119
=== 323: 0 | @ 253m37s.14
=== 324: 0 | @ 253m53s.351
=== 325: 0 | @ 254m9s.487
=== 326: 0 | @ 254m25s.704
=== 327: 0 | @ 254m41s.817
=== 328: 0 | @ 254m57s.720
=== 329: 0 | @ 255m13s.701
=== 330: 0 | @ 255m29s.480
=== 331: 0 | @ 255m45s.348
=== 332: 0 | @ 261m26s.178
=== 333: 0 | @ 261m39s.74
=== 334: 0 | @ 261m51s.844
=== 335: 0 | @ 262m5s.134
=== 336: 0 | @ 262m18s.644
=== 337: 0 | @ 262m32s.21
=== 338: 0 | @ 262m45s.643
=== 339: 0 | @ 262m59s.491
=== 340: 0 | @ 263m13s.210
=== 341: 0 | @ 263m27s.468
=== 342: 0 | @ 263m42s.30
=== 343: 0 | @ 263m56s.771
=== 344: 0 | @ 264m11s.445
=== 345: 0 | @ 264m26s.101
=== 346: 0 | @ 264m40s.769
=== 347: 0 | @ 264m55s.348
=== 348: 0 | @ 265m9s.830
=== 349: 0 | @ 265m24s.145
=== 350: 0 | @ 265m38s.351
=== 351: 0 | @ 265m52s.598
=== 352: 0 | @ 266m6s.848
=== 353: 0 | @ 266m21s.110
=== 354: 0 | @ 266m35s.251
=== 355: 0 | @ 266m49s.230
=== 356: 0 | @ 267m3s.211
